date,account_value,fold,split,seed
2019-11-27,12361.585601560944,fold7,test,69
2019-11-29,12315.740474648795,fold7,test,69
2019-12-02,12211.121414330482,fold7,test,69
2019-12-03,12129.227015371058,fold7,test,69
2019-12-04,12204.067490032645,fold7,test,69
2019-12-05,12226.010109267312,fold7,test,69
2019-12-06,12337.683093883465,fold7,test,69
2019-12-09,12298.891891269152,fold7,test,69
2019-12-10,12285.17745530172,fold7,test,69
2019-12-11,12320.051272596536,fold7,test,69
2019-12-12,12426.238004512488,fold7,test,69
2019-12-13,12433.682949872436,fold7,test,69
2019-12-16,12519.102517306184,fold7,test,69
2019-12-17,12521.84564365628,fold7,test,69
2019-12-18,12522.628881563567,fold7,test,69
2019-12-19,12573.95906539285,fold7,test,69
2019-12-20,12567.298553723254,fold7,test,69
2019-12-23,12586.498046607823,fold7,test,69
2019-12-24,12586.890263453,fold7,test,69
2019-12-26,12653.893575909462,fold7,test,69
2019-12-27,12650.758232714186,fold7,test,69
2019-12-30,12581.011793907624,fold7,test,69
2019-12-31,12611.5748132547,fold7,test,69
2019-01-02,10000.0,fold8,val,69
2019-01-03,9751.610994062135,fold8,val,69
2019-01-04,10078.24833207244,fold8,val,69
2019-01-07,10157.711740253417,fold8,val,69
2019-01-08,10253.146795678598,fold8,val,69
2019-01-09,10301.064783923875,fold8,val,69
2019-01-10,10337.40236826562,fold8,val,69
2019-01-11,10327.064965897354,fold8,val,69
2019-01-14,10379.67952384988,fold8,val,69
2019-01-15,10369.29984432603,fold8,val,69
2019-01-16,10333.863608930553,fold8,val,69
2019-01-17,10255.463550492816,fold8,val,69
2019-01-18,10118.963232599945,fold8,val,69
2019-01-22,10255.675424173933,fold8,val,69
2019-01-23,10234.216055747136,fold8,val,69
2019-01-24,10228.77728037918,fold8,val,69
2019-01-25,10142.227150352735,fold8,val,69
2019-01-28,10219.310405345484,fold8,val,69
2019-01-29,10232.87129738052,fold8,val,69
2019-01-30,10070.877076057624,fold8,val,69
2019-01-31,9982.430167528835,fold8,val,69
2019-02-01,9977.622385143302,fold8,val,69
2019-02-04,9907.425311142792,fold8,val,69
2019-02-05,9865.894901016756,fold8,val,69
2019-02-06,9878.90068149372,fold8,val,69
2019-02-07,9973.074258920751,fold8,val,69
2019-02-08,9960.891759434571,fold8,val,69
2019-02-11,9950.930867675135,fold8,val,69
2019-02-12,10068.81498232942,fold8,val,69
2019-02-13,10101.507741728512,fold8,val,69
2019-02-14,10079.100483391952,fold8,val,69
2019-02-15,10188.93506127782,fold8,val,69
2019-02-19,10206.567829257394,fold8,val,69
2019-02-20,10227.138831382465,fold8,val,69
2019-02-21,10190.77243852485,fold8,val,69
2019-02-22,10253.95512249057,fold8,val,69
2019-02-25,10267.913135976089,fold8,val,69
2019-02-26,10260.566990094583,fold8,val,69
2019-02-27,10256.159078358574,fold8,val,69
2019-02-28,10237.056632788484,fold8,val,69
2019-03-01,10300.974716067229,fold8,val,69
2019-03-04,10263.505224240074,fold8,val,69
2019-03-05,10249.54608971902,fold8,val,69
2019-03-06,10187.465383687302,fold8,val,69
2019-03-07,10102.243141041536,fold8,val,69
2019-03-08,10082.038717537444,fold8,val,69
2019-03-11,10228.240809316463,fold8,val,69
2019-03-12,10266.81115804208,fold8,val,69
2019-03-13,10334.769453400324,fold8,val,69
2019-03-14,10328.15758579631,fold8,val,69
2019-03-15,10333.667475466322,fold8,val,69
2019-03-18,10371.13584625794,fold8,val,69
2019-03-19,10373.707501782455,fold8,val,69
2019-03-20,10342.48329893834,fold8,val,69
