date,account_value,strategy,seed
2014-07-24,10994.537336210142,rl_only_stitched,63
2014-07-25,13536.902952595585,buy_hold,63
2014-07-25,13536.902952595585,momentum_126,63
2014-07-25,11046.008967271991,rl_only_stitched,63
2014-07-28,13542.380279200534,buy_hold,63
2014-07-28,13542.380279200534,momentum_126,63
2014-07-28,11041.539510779112,rl_only_stitched,63
2014-07-29,13484.184598129495,buy_hold,63
2014-07-29,13484.184598129495,momentum_126,63
2014-07-29,11088.988326914445,rl_only_stitched,63
2014-07-30,13486.2384650197,buy_hold,63
2014-07-30,13486.2384650197,momentum_126,63
2014-07-30,11087.299288485408,rl_only_stitched,63
2014-07-31,13219.90959642665,buy_hold,63
2014-07-31,13219.90959642665,momentum_126,63
2014-07-31,11306.253438147964,rl_only_stitched,63
2014-08-01,13179.515487995011,buy_hold,63
2014-08-01,13179.515487995011,momentum_126,63
2014-08-01,11340.800272527194,rl_only_stitched,63
2014-08-04,13274.681817782935,buy_hold,63
2014-08-04,13274.681817782935,momentum_126,63
2014-08-04,11329.459472254668,rl_only_stitched,63
2014-08-05,13145.967254299643,buy_hold,63
2014-08-05,13145.967254299643,momentum_126,63
2014-08-05,11329.459472254668,rl_only_stitched,63
2014-08-06,13150.07603277328,buy_hold,63
2014-08-06,13150.07603277328,momentum_126,63
2014-08-06,11329.459472254668,rl_only_stitched,63
2014-08-07,13078.871831602137,buy_hold,63
2014-08-07,13078.871831602137,momentum_126,63
2014-08-07,11329.459472254668,rl_only_stitched,63
2014-08-08,13230.179975570896,buy_hold,63
2014-08-08,13230.179975570896,momentum_126,63
2014-08-08,11329.459472254668,rl_only_stitched,63
2014-08-11,13268.520217112326,buy_hold,63
2014-08-11,13268.520217112326,momentum_126,63
2014-08-11,11329.459472254668,rl_only_stitched,63
2014-08-12,13250.034370407267,buy_hold,63
2014-08-12,13250.034370407267,momentum_126,63
2014-08-12,11329.459472254668,rl_only_stitched,63
2014-08-13,13339.72337359024,buy_hold,63
2014-08-13,13339.72337359024,momentum_126,63
2014-08-13,11329.459472254668,rl_only_stitched,63
2014-08-14,13402.711062507338,buy_hold,63
2014-08-14,13402.711062507338,momentum_126,63
2014-08-14,11329.459472254668,rl_only_stitched,63
2014-08-15,13399.972921551478,buy_hold,63
2014-08-15,13399.972921551478,momentum_126,63
2014-08-15,11329.459472254668,rl_only_stitched,63
2014-08-18,13512.255505219917,buy_hold,63
2014-08-18,13512.255505219917,momentum_126,63
2014-08-18,11329.459472254668,rl_only_stitched,63
2014-08-19,13582.77438763217,buy_hold,63
2014-08-19,13582.77438763217,momentum_126,63
2014-08-19,11329.459472254668,rl_only_stitched,63
2014-08-20,13619.0607622834,buy_hold,63
2014-08-20,13619.0607622834,momentum_126,63
2014-08-20,11329.459472254668,rl_only_stitched,63
2014-08-21,13658.770596649376,buy_hold,63
2014-08-21,13658.770596649376,momentum_126,63
2014-08-21,11285.129127039629,rl_only_stitched,63
2014-08-22,13637.546608988458,buy_hold,63
2014-08-22,13637.546608988458,momentum_126,63
2014-08-22,11302.66477855741,rl_only_stitched,63
2014-08-25,13706.695898576168,buy_hold,63
2014-08-25,13706.695898576168,momentum_126,63
2014-08-25,11245.354526039544,rl_only_stitched,63
2014-08-26,13715.596684895869,buy_hold,63
2014-08-26,13715.596684895869,momentum_126,63
2014-08-26,11238.052073394048,rl_only_stitched,63
2014-08-27,13710.119358290916,buy_hold,63
2014-08-27,13710.119358290916,momentum_126,63
2014-08-27,11242.53999200405,rl_only_stitched,63
2014-08-28,13702.58816479576,buy_hold,63
2014-08-28,13702.58816479576,momentum_126,63
2014-08-28,11248.71570366958,rl_only_stitched,63
2014-08-29,13741.61372509608,buy_hold,63
2014-08-29,13741.61372509608,momentum_126,63
2014-08-29,11216.67887765429,rl_only_stitched,63
2014-09-02,13734.766805666584,buy_hold,63
2014-09-02,13734.766805666584,momentum_126,63
2014-09-02,11222.26771882522,rl_only_stitched,63
2014-09-03,13727.23561217143,buy_hold,63
2014-09-03,13727.23561217143,momentum_126,63
2014-09-03,11228.421232083998,rl_only_stitched,63
2014-09-04,13707.381217335054,buy_hold,63
2014-09-04,13707.381217335054,momentum_126,63
2014-09-04,11244.661465356694,rl_only_stitched,63
2014-09-05,13768.99931342761,buy_hold,63
2014-09-05,13768.99931342761,momentum_126,63
2014-09-05,11194.113908553914,rl_only_stitched,63
2014-09-08,13733.39721284204,buy_hold,63
2014-09-08,13733.39721284204,momentum_126,63
2014-09-08,11223.05820292613,rl_only_stitched,63
2014-09-09,13646.447395308158,buy_hold,63
2014-09-09,13646.447395308158,momentum_126,63
2014-09-09,11294.114391558323,rl_only_stitched,63
2014-09-10,13697.796156949697,buy_hold,63
2014-09-10,13697.796156949697,momentum_126,63
2014-09-10,11251.61697292292,rl_only_stitched,63
2014-09-11,13713.542818005664,buy_hold,63
2014-09-11,13713.542818005664,momentum_126,63
2014-09-11,11238.68238134526,rl_only_stitched,63
2014-09-12,13633.43887520805,buy_hold,63
2014-09-12,13633.43887520805,momentum_126,63
2014-09-12,11304.330097806522,rl_only_stitched,63
2014-09-15,13623.168496063803,buy_hold,63
2014-09-15,13623.168496063803,momentum_126,63
2014-09-15,11312.845906410566,rl_only_stitched,63
2014-09-16,13725.86601934688,buy_hold,63
2014-09-16,13725.86601934688,momentum_126,63
2014-09-16,11301.533060504156,rl_only_stitched,63
2014-09-17,13744.351866051942,buy_hold,63
2014-09-17,13744.351866051942,momentum_126,63
2014-09-17,11301.533060504156,rl_only_stitched,63
2014-09-18,13817.609934113289,buy_hold,63
2014-09-18,13817.609934113289,momentum_126,63
2014-09-18,11301.533060504156,rl_only_stitched,63
2014-09-19,13740.928406337192,buy_hold,63
2014-09-19,13740.928406337192,momentum_126,63
