fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
fold1,test,1260,252,252,0.2037038906256436,0.2045933456535846,0.1056359004874869,1.9367785450725603,2.6566564950919993,3.661214334354887,-0.0558812806269738,42.972042491358195,43.14324584789747,10.454545454545457,63
fold2,val,1259,252,252,-0.1895181653938629,-0.1901963818267218,0.1056371258928226,-1.8004691079885249,-2.9724389232520094,-0.9931552762467696,-0.1915071956778928,3.081621849542276,3.0938992274288983,116.5,63
fold2,test,1259,252,252,-0.1015480558563134,-0.1019312732448897,0.1066640604139462,-0.9556290361468588,-1.6888348398510302,-0.5989384054731011,-0.1701865706280335,2.0145838281825115,2.022610058573677,239.0,63
fold3,val,1258,252,252,0.1225369306159702,0.1230540035979865,0.1124055777958019,1.0947321833221542,1.4411190841847457,1.5970903558512748,-0.0770488677407339,0.947645325850124,0.951420805235981,251.0,63
fold3,test,1258,252,252,-0.0085862221515764,-0.0086202823417511,0.1558671542392429,-0.0553053167861123,-0.077717118856652,-0.070165100257016,-0.1228571228456157,0.9973210350370164,1.001294425614853,251.0,63
fold4,val,1258,252,252,-0.0085862221515764,-0.0086202823417511,0.1558671542392429,-0.0553053167861123,-0.077717118856652,-0.070165100257016,-0.1228571228456157,0.9973210350370164,1.001294425614853,251.0,63
fold4,test,1258,252,252,0.1108668989870773,0.1113323244448118,0.1305417967863075,0.8528481083116936,1.1196827133738492,1.21177713071131,-0.0918752480329944,0.960748665140136,0.964576349064997,251.0,63
fold5,val,1258,252,252,0.0388408503931527,0.0389985738218552,0.1251972208946311,0.3114971206483675,0.4304463571313897,0.4244731269498178,-0.0918752480329944,86.24258834929185,86.58618431881094,4.8604651162790695,63
fold5,test,1258,251,251,-0.1184581054811304,-0.1193468350155635,0.0633296355847439,-1.8845337402243636,-2.658963198014693,-0.9872318340385176,-0.1208903834951772,100.61861366130756,101.423562570598,3.92156862745098,63
fold6,val,1258,251,251,0.1835958038737555,0.1851929082201209,0.0672774228510295,2.75267542025485,3.7307603435384777,6.108050785494702,-0.0303194774771542,0.9214057364338418,0.9287769823253126,250.0,63
