date,account_value,fold,split
2012-07-19,10862.502070221351,fold1,val
2012-07-20,10763.12870665828,fold1,val
2012-07-23,10654.290353638067,fold1,val
2012-07-24,10562.80307728576,fold1,val
2012-07-25,10565.17022722374,fold1,val
2012-07-26,10739.468038162811,fold1,val
2012-07-27,10937.426517597354,fold1,val
2012-07-30,10937.426517597354,fold1,val
2012-07-31,10860.925574838157,fold1,val
2012-08-01,10851.460585381014,fold1,val
2012-08-02,10776.536138005013,fold1,val
2012-08-03,10990.269198724262,fold1,val
2012-08-06,11011.562717281753,fold1,val
2012-08-07,11066.771344915049,fold1,val
2012-08-08,11080.178776261779,fold1,val
2012-08-09,11089.64256228733,fold1,val
2012-08-10,11107.781886646837,fold1,val
2012-08-13,11096.67410476019,fold1,val
2012-08-14,11084.003304406255,fold1,val
2012-08-15,11072.919301101849,fold1,val
2012-08-16,10980.225842540216,fold1,val
2012-08-17,10969.245616697675,fold1,val
2012-08-20,10957.504885754075,fold1,val
2012-08-21,10946.547380868322,fold1,val
2012-08-22,10940.230321645056,fold1,val
2012-08-23,10850.745717343663,fold1,val
2012-08-24,10916.315419306371,fold1,val
2012-08-27,10918.629574841038,fold1,val
2012-08-28,10907.829789983163,fold1,val
2012-08-29,10916.31541930637,fold1,val
2012-08-30,10837.631776951119,fold1,val
2012-08-31,10889.316545705818,fold1,val
2012-09-04,10879.287753663411,fold1,val
2012-09-05,10870.03113152474,fold1,val
2012-09-06,11090.656316839819,fold1,val
2012-09-07,11133.855456271314,fold1,val
2012-09-10,11070.598732755005,fold1,val
2012-09-11,11101.456101697693,fold1,val
2012-09-12,11138.48376734065,fold1,val
2012-09-13,11308.195176716494,fold1,val
2012-09-14,11296.886981539777,fold1,val
2012-09-17,11247.266304577524,fold1,val
2012-09-18,11238.06779968866,fold1,val
2012-09-19,11226.829731888973,fold1,val
2012-09-20,11216.36817522272,fold1,val
2012-09-21,11205.151807047498,fold1,val
2012-09-24,11177.063937676361,fold1,val
2012-09-25,11058.119115221083,fold1,val
2012-09-26,10995.959380036613,fold1,val
2012-09-27,11099.557767730139,fold1,val
2012-09-28,11048.14264458396,fold1,val
2012-10-01,11077.303915094162,fold1,val
2012-10-02,11088.814326639105,fold1,val
2012-10-03,11134.090173312228,fold1,val
2012-10-04,11213.899596514697,fold1,val
2012-10-05,11214.666566968608,fold1,val
2012-10-08,11176.296967222452,fold1,val
2012-10-09,11065.79233260196,fold1,val
2012-10-10,10995.192409582705,fold1,val
2012-10-11,11001.33168605576,fold1,val
2012-10-12,10965.264168618593,fold1,val
2012-10-15,11056.584003366004,fold1,val
2012-10-16,11168.622578894316,fold1,val
2012-10-17,11219.270731586585,fold1,val
2012-10-18,11190.110632023641,fold1,val
2012-10-19,11003.633768364749,fold1,val
2012-10-22,11005.168880219828,fold1,val
2012-10-23,10852.457451689113,fold1,val
2012-10-24,10821.762240271091,fold1,val
2012-10-25,10853.224422143023,fold1,val
2012-10-26,10847.086316617226,fold1,val
2012-10-31,10847.086316617226,fold1,val
2012-11-01,10960.660004000614,fold1,val
2012-11-02,10863.200892780145,fold1,val
2012-11-05,10885.45591636338,fold1,val
2012-11-06,10970.636474637737,fold1,val
2012-11-07,10722.001046741632,fold1,val
2012-11-08,10593.078582701974,fold1,val
2012-11-09,10602.288082885187,fold1,val
2012-11-12,10610.729441667232,fold1,val
2012-11-13,10573.893782828896,fold1,val
2012-11-14,10431.158824935306,fold1,val
2012-11-15,10413.509136917306,fold1,val
2012-11-16,10464.924260063484,fold1,val
2012-11-19,10676.725200068511,fold1,val
2012-11-20,10681.32936468649,fold1,val
2012-11-21,10701.281135013478,fold1,val
2012-11-23,10847.086316617226,fold1,val
2012-11-26,10824.06432258008,fold1,val
2012-11-27,10768.812005269834,fold1,val
2012-11-28,10855.52767539927,fold1,val
2012-11-29,10906.174657144278,fold1,val
2012-11-30,10895.268482487134,fold1,val
2012-12-03,10937.971725158159,fold1,val
2012-12-04,10927.033753433001,fold1,val
2012-12-05,10935.427262546258,fold1,val
2012-12-06,10972.522374665245,fold1,val
2012-12-07,11005.754321596774,fold1,val
2012-12-10,11010.391063207602,fold1,val
2012-12-11,11085.354863868944,fold1,val
2012-12-12,11090.764002670796,fold1,val
2012-12-13,11022.75649365805,fold1,val
2012-12-14,10981.797037119255,fold1,val
2012-12-17,11110.858121960859,fold1,val
2012-12-18,11234.50888876826,fold1,val
2012-12-19,11151.04400207628,fold1,val
2012-12-20,11215.18834590157,fold1,val
2012-12-21,11035.120744876142,fold1,val
2012-12-24,11001.117579985945,fold1,val
2012-12-26,10954.747805412948,fold1,val
2012-12-27,10940.064004157088,fold1,val
2012-12-28,10821.822376151536,fold1,val
2012-12-31,11005.754321596774,fold1,val
2013-01-30,10000.0,fold1,test
2013-01-31,9965.368804720454,fold1,test
2013-02-01,10067.885527669176,fold1,test
2013-02-04,9954.717531938017,fold1,test
2013-02-05,10055.23726821019,fold1,test
2013-02-06,10062.559891277955,fold1,test
2013-02-07,10049.246308180549,fold1,test
2013-02-08,10105.163966646425,fold1,test
2013-02-11,10103.166979969878,fold1,test
2013-02-12,10119.809212781956,fold1,test
2013-02-13,10128.462483126566,fold1,test
2013-02-14,10137.78209287088,fold1,test
2013-02-15,10125.800172811598,fold1,test
2013-02-19,10201.688713804226,fold1,test
2013-02-20,10074.541811337238,fold1,test
2013-02-21,10013.298516480141,fold1,test
2013-02-22,10111.154926676067,fold1,test
2013-02-25,9918.770755998888,fold1,test
2013-02-26,9986.671350285327,fold1,test
2013-02-27,10112.486589714192,fold1,test
2013-02-28,10092.515707187442,fold1,test
2013-03-01,10125.8001728116,fold1,test
2013-03-04,10179.720844600928,fold1,test
2013-03-05,10270.91995536751,fold1,test
2013-03-06,10260.649035412142,fold1,test
2013-03-07,10268.96506104019,fold1,test
2013-03-08,10312.753370898132,fold1,test
2013-03-11,10351.897005913788,fold1,test
2013-03-12,10328.675656408042,fold1,test
2013-03-13,10343.271759694024,fold1,test
2013-03-14,10398.338692572435,fold1,test
2013-03-15,10338.62809720458,fold1,test
2013-03-18,10328.289469107376,fold1,test
2013-03-19,10293.992203107364,fold1,test
2013-03-20,10365.899132700082,fold1,test
2013-03-21,10277.3471087369,fold1,test
2013-03-22,10359.90714255134,fold1,test
2013-03-25,10316.62928762657,fold1,test
2013-03-26,10399.189321441008,fold1,test
2013-03-27,10399.189321441008,fold1,test
2013-03-28,10431.147618170238,fold1,test
2013-04-01,10389.868109230987,fold1,test
2013-04-02,10441.135284354079,fold1,test
2013-04-03,10335.271712046615,fold1,test
2013-04-04,10377.217674959686,fold1,test
2013-04-05,10330.611613909572,fold1,test
2013-04-08,10400.52121345271,fold1,test
2013-04-09,10436.4741702811,fold1,test
2013-04-10,10564.308373133954,fold1,test
2013-04-11,10598.930453886582,fold1,test
2013-04-12,10588.331523432695,fold1,test
2013-04-15,10332.616125612003,fold1,test
2013-04-16,10485.154676178443,fold1,test
2013-04-17,10331.950386792048,fold1,test
2013-04-18,10267.33814742646,fold1,test
2013-04-19,10356.595936267222,fold1,test
2013-04-22,10402.557324722655,fold1,test
2013-04-23,10509.800225653615,fold1,test
2013-04-24,10516.46167943373,fold1,test
2013-04-25,10559.092340999105,fold1,test
2013-04-26,10548.533248658105,fold1,test
2013-04-29,10467.394234601386,fold1,test
2013-04-30,10442.425614868096,fold1,test
2013-05-01,10533.979552717972,fold1,test
2013-05-02,10436.146832723141,fold1,test
2013-05-03,10330.315803544654,fold1,test
2013-05-06,10304.068871411306,fold1,test
2013-05-07,10251.841080537488,fold1,test
2013-05-08,10205.18510268265,fold1,test
2013-05-09,10233.924529950751,fold1,test
2013-05-10,10200.624141040567,fold1,test
2013-05-13,10192.509733922385,fold1,test
2013-05-14,10182.317224188462,fold1,test
2013-05-15,10226.926373966115,fold1,test
2013-05-16,10178.906928251436,fold1,test
2013-05-17,10277.408885267552,fold1,test
2013-05-20,10267.131476382285,fold1,test
2013-05-21,10271.611268127765,fold1,test
2013-05-22,10261.339656859636,fold1,test
2013-05-23,10221.424402828537,fold1,test
2013-05-24,10212.775305191011,fold1,test
2013-05-28,10273.937387351261,fold1,test
2013-05-29,10207.215372998518,fold1,test
2013-05-30,10244.900928993653,fold1,test
2013-05-31,10097.865326474777,fold1,test
2013-06-03,10153.467476442533,fold1,test
2013-06-04,10104.661113381471,fold1,test
2013-06-05,9963.186385736031,fold1,test
2013-06-06,10053.383983572949,fold1,test
2013-06-07,10181.268080085942,fold1,test
2013-06-10,10181.268080085942,fold1,test
2013-06-11,10076.243053721435,fold1,test
2013-06-12,9992.84030011027,fold1,test
2013-06-13,10144.81837880501,fold1,test
2013-06-14,10081.184587216358,fold1,test
2013-06-17,10159.02740863503,fold1,test
2013-06-18,10239.340996801162,fold1,test
2013-06-19,10097.86532647478,fold1,test
2013-06-20,9847.65800832223,fold1,test
2013-06-21,9827.27159028309,fold1,test
2013-06-24,9703.09411523176,fold1,test
2013-06-25,9796.38182119465,fold1,test
2013-06-26,9893.37520593826,fold1,test
2013-06-27,9951.448122653477,fold1,test
2013-06-28,9910.673401213311,fold1,test
2013-07-01,9968.746317928528,fold1,test
2013-07-02,9959.479764274372,fold1,test
2013-07-03,9963.803841752664,fold1,test
2013-07-05,10071.300577545573,fold1,test
2013-07-08,10128.75509556322,fold1,test
2013-07-09,10201.655440806026,fold1,test
2013-07-10,10205.362062267688,fold1,test
2013-07-11,10344.366023165669,fold1,test
2013-07-12,10334.021657142503,fold1,test
2013-07-15,10284.244294775548,fold1,test
2013-07-16,10322.775174536504,fold1,test
2013-07-17,10296.278531714266,fold1,test
2013-07-18,10239.877474445731,fold1,test
2013-07-19,10221.685998275983,fold1,test
2013-07-22,10211.464312277707,fold1,test
2013-07-23,10179.586433501607,fold1,test
2013-07-24,10142.272410168665,fold1,test
2013-07-25,10166.947309089044,fold1,test
2013-07-26,10177.780975491354,fold1,test
2013-07-29,10146.48483941232,fold1,test
2013-07-30,10146.48483941232,fold1,test
2013-07-31,10153.707589794129,fold1,test
2013-08-01,10271.066952164509,fold1,test
2013-08-02,10288.520019043877,fold1,test
2013-08-05,10273.47392339791,fold1,test
2013-08-06,10215.094998824296,fold1,test
2013-08-07,10181.993404735009,fold1,test
2013-08-08,10219.308346408749,fold1,test
2013-08-09,10189.817668339967,fold1,test
2013-08-12,10177.780975491354,fold1,test
2013-08-13,10207.873166783287,fold1,test
2013-08-14,10155.51304780438,fold1,test
2013-08-15,10013.47786817282,fold1,test
2013-08-16,9980.376274083534,fold1,test
2013-08-19,9916.580975479163,fold1,test
2013-08-20,9965.330178437567,fold1,test
2013-08-21,9903.9418510666,fold1,test
2013-08-22,9994.218424942399,fold1,test
2013-08-23,10027.921532254837,fold1,test
2013-08-26,9990.607508921896,fold1,test
2013-08-27,9829.915317623867,fold1,test
2013-08-28,9864.822369723406,fold1,test
2013-08-29,9880.469978592524,fold1,test
2013-08-30,9849.17384251349,fold1,test
2013-09-03,9893.710616228238,fold1,test
2013-09-04,9975.56141327593,fold1,test
2013-09-05,9988.200537688492,fold1,test
2013-09-06,9993.0144801553,fold1,test
2013-09-09,10088.708346402655,fold1,test
2013-09-10,10163.33639306854,fold1,test
2013-09-11,10195.234042370723,fold1,test
2013-09-12,10185.038808328352,fold1,test
2013-09-13,10197.739204170286,fold1,test
2013-09-16,10187.541464966116,fold1,test
2013-09-17,10222.770449136538,fold1,test
2013-09-18,10212.547678687402,fold1,test
2013-09-19,10219.432873360469,fold1,test
2013-09-20,10209.213440487109,fold1,test
2013-09-23,10246.200223013404,fold1,test
2013-09-24,10235.95402279039,fold1,test
2013-09-25,10196.16189545714,fold1,test
2013-09-26,10235.369176833914,fold1,test
2013-09-27,10188.321175486044,fold1,test
2013-09-30,10134.034382898279,fold1,test
2013-10-01,10214.257492986397,fold1,test
2013-10-02,10204.606384920084,fold1,test
2013-10-03,10110.510382224344,fold1,test
2013-10-04,10187.114556882676,fold1,test
2013-10-07,10099.04980644314,fold1,test
2013-10-08,9981.429803073464,fold1,test
2013-10-09,9988.668594313362,fold1,test
2013-10-10,10204.00353580856,fold1,test
2013-10-11,10269.74998379721,fold1,test
2013-10-14,10310.766732888878,fold1,test
2013-10-15,10235.97202594544,fold1,test
2013-10-16,10378.926418084267,fold1,test
2013-10-17,10368.547491666182,fold1,test
2013-10-18,10288.215600952673,fold1,test
2013-10-21,10287.625970575284,fold1,test
2013-10-22,10228.04682459466,fold1,test
2013-10-23,10277.026481952076,fold1,test
2013-10-24,10242.882372928352,fold1,test
2013-10-25,10196.097688699463,fold1,test
2013-10-28,10179.872085085117,fold1,test
2013-10-29,10125.573130053775,fold1,test
2013-10-30,10175.866937627366,fold1,test
2013-10-31,10204.72809630105,fold1,test
2013-11-01,10180.346032528807,fold1,test
2013-11-04,10170.165686496279,fold1,test
2013-11-05,10127.8201397768,fold1,test
2013-11-06,10179.530448335036,fold1,test
2013-11-07,10050.828047489731,fold1,test
2013-11-08,10186.424922352566,fold1,test
2013-11-11,10188.149417570328,fold1,test
2013-11-12,10167.465118804357,fold1,test
2013-11-13,10249.052942627524,fold1,test
2013-11-14,10300.189003922094,fold1,test
2013-11-15,10345.0048384628,fold1,test
2013-11-18,10308.807096444007,fold1,test
2013-11-19,10286.399179173653,fold1,test
2013-11-20,10254.223798140672,fold1,test
2013-11-21,10336.960993204553,fold1,test
2013-11-22,10388.671301762788,fold1,test
2013-11-25,10378.329590736494,fold1,test
2013-11-26,10381.20170376821,fold1,test
2013-11-27,10406.482610783662,fold1,test
2013-11-29,10396.076128172877,fold1,test
2013-12-02,10358.711641534797,fold1,test
2013-12-03,10313.955742293014,fold1,test
2013-12-04,10312.807908185538,fold1,test
2013-12-05,10267.47852966046,fold1,test
2013-12-06,10382.237425263163,fold1,test
2013-12-09,10408.631480948887,fold1,test
2013-12-10,10371.335190094362,fold1,test
2013-12-11,10254.854981100889,fold1,test
2013-12-12,10221.001317027905,fold1,test
2013-12-13,10219.853482920429,fold1,test
2013-12-16,10283.544705001566,fold1,test
2013-12-17,10250.837999495168,fold1,test
2013-12-18,10425.845490397469,fold1,test
2013-12-19,10413.796296662085,fold1,test
2013-12-20,10417.812402726915,fold1,test
2013-12-23,10473.470537137498,fold1,test
2013-12-24,10496.421966041684,fold1,test
2013-12-26,10549.785307778206,fold1,test
2013-12-27,10539.235522470428,fold1,test
2013-12-30,10526.978321075181,fold1,test
2013-12-31,10516.451342754106,fold1,test
2013-01-30,10000.0,fold2,val
2013-01-31,10014.631195279546,fold2,val
2013-02-01,9911.607695417324,fold2,val
2013-02-04,10023.01905128557,fold2,val
2013-02-05,9921.809626864055,fold2,val
2013-02-06,9914.58417110307,fold2,val
2013-02-07,9927.701970317625,fold2,val
2013-02-08,9872.460628718172,fold2,val
2013-02-11,9874.41162846497,fold2,val
2013-02-12,9858.14620817359,fold2,val
2013-02-13,9849.71668124849,fold2,val
2013-02-14,9840.653556839014,fold2,val
2013-02-15,9852.28429847155,fold2,val
2013-02-19,9778.445641960914,fold2,val
2013-02-20,9900.317530938943,fold2,val
2013-02-21,9960.501713711785,fold2,val
2013-02-22,9863.161267918622,fold2,val
2013-02-25,10050.826882237081,fold2,val
2013-02-26,10040.776055354843,fold2,val
2013-02-27,10040.776055354843,fold2,val
2013-02-28,10040.776055354843,fold2,val
2013-03-01,10040.776055354843,fold2,val
2013-03-04,10040.776055354843,fold2,val
2013-03-05,9940.870915455731,fold2,val
2013-03-06,9927.340228277197,fold2,val
2013-03-07,9909.349010506437,fold2,val
2013-03-08,9867.094154015711,fold2,val
2013-03-11,9829.642086819007,fold2,val
2013-03-12,9851.691915394775,fold2,val
2013-03-13,9837.769867929806,fold2,val
2013-03-14,9785.39419555295,fold2,val
2013-03-15,9841.585067056583,fold2,val
2013-03-18,9895.89918542303,fold2,val
2013-03-19,9918.88769751355,fold2,val
2013-03-20,9849.600996568908,fold2,val
2013-03-21,9933.742477429407,fold2,val
2013-03-22,9853.942689978101,fold2,val
2013-03-25,9895.106910497247,fold2,val
2013-03-26,9815.920158860454,fold2,val
2013-03-27,9815.920158860454,fold2,val
2013-03-28,9785.754337332375,fold2,val
2013-04-01,9824.479811118365,fold2,val
2013-04-02,9776.0024559032,fold2,val
2013-04-03,9875.122189024489,fold2,val
2013-04-04,9835.04375464525,fold2,val
2013-04-05,9879.214809355377,fold2,val
2013-04-08,9812.359914704924,fold2,val
2013-04-09,9778.440138459317,fold2,val
2013-04-10,9658.666057687495,fold2,val
2013-04-11,9627.012010455937,fold2,val
2013-04-12,9650.597215246658,fold2,val
2013-04-15,9874.238736927704,fold2,val
2013-04-16,9728.46712917926,fold2,val
2013-04-17,9870.615045864835,fold2,val
2013-04-18,9932.342262716775,fold2,val
2013-04-19,9845.99671768357,fold2,val
2013-04-22,9802.301310171566,fold2,val
2013-04-23,9701.24661799469,fold2,val
2013-04-24,9695.097651832844,fold2,val
2013-04-25,9655.796559941185,fold2,val
2013-04-26,9672.851891615765,fold2,val
2013-04-29,9608.056649996573,fold2,val
2013-04-30,9585.137869305516,fold2,val
2013-05-01,9669.175539204683,fold2,val
2013-05-02,9579.374553891037,fold2,val
2013-05-03,9482.231893465287,fold2,val
2013-05-06,9458.13974548903,fold2,val
2013-05-07,9410.199679205769,fold2,val
2013-05-08,9367.373998979792,fold2,val
2013-05-09,9393.754016689223,fold2,val
2013-05-10,9363.187476827916,fold2,val
2013-05-13,9355.739235028164,fold2,val
2013-05-14,9259.058161300258,fold2,val
2013-05-15,9209.184915973392,fold2,val
2013-05-16,9252.425664853206,fold2,val
2013-05-17,9162.8893284314,fold2,val
2013-05-20,9163.438737640003,fold2,val
2013-05-21,9150.263899505448,fold2,val
2013-05-22,9218.137187915852,fold2,val
2013-05-23,9244.80305099893,fold2,val
