date,account_value,fold,split
2018-01-11,10262.005736236573,fold6,test
2018-01-12,10328.606413726808,fold6,test
2018-01-16,10293.455962066651,fold6,test
2018-01-17,10391.135374908448,fold6,test
2018-01-18,10373.746458892823,fold6,test
2018-01-19,10420.736052398683,fold6,test
2018-01-22,10505.096007232667,fold6,test
2018-01-23,10527.296233062745,fold6,test
2018-01-24,10523.225645904542,fold6,test
2018-01-25,10527.66546524048,fold6,test
2018-01-26,10649.025420074464,fold6,test
2018-01-29,10578.725645904542,fold6,test
2018-01-30,10470.68627822876,fold6,test
2018-01-31,10475.865691070558,fold6,test
2018-02-01,10464.025420074464,fold6,test
2018-02-02,10237.216368560792,fold6,test
2018-02-05,9810.975645904542,fold6,test
2018-02-06,10003.376097564698,fold6,test
2018-02-07,9949.356413726808,fold6,test
2018-02-08,9577.876097564698,fold6,test
2018-02-09,9721.065916900636,fold6,test
2018-02-12,9863.145781402589,fold6,test
2018-02-13,9887.565916900636,fold6,test
2018-02-14,10020.395781402589,fold6,test
2018-02-15,10147.67587173462,fold6,test
2018-02-16,10150.635374908448,fold6,test
2018-02-20,10087.365691070558,fold6,test
2018-02-21,10037.41546524048,fold6,test
2018-02-22,10050.365691070558,fold6,test
2018-02-23,10209.835600738526,fold6,test
2018-02-26,10327.865691070558,fold6,test
2018-02-27,10199.475645904542,fold6,test
2018-02-28,10096.615691070558,fold6,test
2018-03-01,9950.466368560792,fold6,test
2018-03-02,10001.525420074464,fold6,test
2018-03-05,10116.596007232667,fold6,test
2018-03-06,10142.126097564698,fold6,test
2018-03-07,10138.42587173462,fold6,test
2018-03-08,10187.266142730714,fold6,test
2018-03-09,10363.755736236573,fold6,test
2018-03-12,10350.805510406495,fold6,test
2018-03-13,10284.205962066651,fold6,test
2018-03-14,10231.66546524048,fold6,test
2018-03-15,10220.565916900636,fold6,test
2018-03-16,10190.966368560792,fold6,test
2018-03-19,10053.69555557251,fold6,test
2018-03-20,10070.716368560792,fold6,test
2018-03-21,10051.475645904542,fold6,test
2018-03-22,9801.356413726808,fold6,test
2018-03-23,9593.41546524048,fold6,test
2018-03-26,9854.635374908448,fold6,test
2018-03-27,9687.766142730714,fold6,test
2018-03-28,9659.275420074464,fold6,test
2018-03-29,9782.115691070558,fold6,test
2018-04-02,9571.955962066651,fold6,test
