fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
fold8,test,1258,112,112,-0.0162144632886042,-0.0364326736708917,0.4417901693274477,-0.082466012601309,-0.0994994866825769,-0.1141105495759429,-0.3192752449820168,47.13127390354273,107.00072994317809,3.8260869565217392,1952065516
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,770305002
fold1,test,1260,252,252,0.2632159080034779,0.2643924077666484,0.1085741416945899,2.435132377194952,3.3946078825975845,4.371758224918342,-0.0604773626912057,0.8889215417332935,0.8924630618198803,251.0,770305002
fold2,val,1259,252,252,-0.0352930642260845,-0.0354311531671395,0.0841895629743147,-0.4208497100519355,-0.6538902255286693,-0.453011873712994,-0.0782124161045433,153.98317914152312,154.59665794288378,2.272727272727273,770305002
fold2,test,1259,252,252,-0.073312273386647,-0.0735933332988503,0.1026561069739422,-0.7168919167909897,-0.9285493631874004,-0.6368075031529399,-0.1155660587139402,74.71652252578599,75.01419791433494,5.783783783783784,770305002
fold3,val,1258,252,252,0.122536930615972,0.1230540035979883,0.1124055777958016,1.0947321833221733,1.4411190841847743,1.597090355851291,-0.0770488677407342,0.947645325850123,0.95142080523598,251.0,770305002
fold3,test,1258,252,252,-0.0085862221515752,-0.0086202823417499,0.1558671542392429,-0.0553053167861044,-0.0777171188566409,-0.0701651002570061,-0.1228571228456155,0.9973210350370156,1.0012944256148522,251.0,770305002
fold4,val,1258,252,252,-0.0053046785388487,-0.0053257563385793,0.1558837345819188,-0.0341649265259333,-0.0476985221519751,-0.043349186560976,-0.1228571228456155,9.177563032123803,9.214127028267724,49.4,770305002
fold4,test,1258,252,252,0.0988985432628004,0.0993115105319717,0.1290777349971534,0.7693930369491054,1.0002347994955,1.0809386930450142,-0.0918752480329946,56.37016939635304,56.59475174454568,8.296296296296296,770305002
fold5,val,1258,252,252,-0.0989350797801531,-0.0993089906831278,0.1306859858722771,-0.759905433013951,-1.1322266891941544,-0.7765848731534589,-0.1278791206424949,3.168291626797921,3.1809143026018973,124.5,770305002
fold5,test,1258,251,251,-0.1606910287369888,-0.1618664217915937,0.067434731581401,-2.4003420492035814,-3.4980343776846508,-0.9818918396997,-0.1648515806395729,1.0879227884043476,1.0966261707115823,250.0,770305002
fold6,val,1258,251,251,-0.0044198339929811,-0.0044551137847088,0.0618495612418239,-0.0720314533403064,-0.1135858255227079,-0.0785992192875395,-0.0566813999565405,91.43519656938813,92.16667814194322,4.456521739130435,770305002
fold6,test,1258,251,251,-0.1482426239716007,-0.1493352625943553,0.1703755089278086,-0.8765066266515547,-1.0955760103207244,-0.7264568434041995,-0.205566598966245,38.40238320671153,38.70960227236522,12.210526315789474,770305002
fold7,val,1259,251,251,-0.0710641501046603,-0.0716118050801208,0.1711346678705589,-0.4184529410153521,-0.5142744830219513,-0.3548919014108511,-0.2017848386943531,0.9806748159235266,0.9885202144509148,250.0,770305002
