market_date,total_news_count,market_hours_news_count,outside_market_hours_news_count,score_0_count,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,score_6_count,score_7_count,score_8_count,score_9_count,score_10_count,sentiment_score_histogram
2000-02-20,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-02-21,55,0,55,0,0,0,0,0,55,0,0,0,0,0,5:55
2000-02-22,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-02-23,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-02-24,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-02-25,12,0,12,0,0,0,0,0,12,0,0,0,0,0,5:12
2000-02-26,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5:1
2000-02-27,56,0,56,0,0,0,0,0,55,0,0,0,0,1,"5:55, 10:1"
2000-02-28,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
2000-02-29,49,0,49,0,0,0,0,0,49,0,0,0,0,0,5:49
2000-03-01,44,0,44,0,0,0,0,0,44,0,0,0,0,0,5:44
2000-03-02,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-03-03,14,0,14,0,0,0,0,0,14,0,0,0,0,0,5:14
2000-03-04,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5:5
2000-03-05,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-03-06,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-03-07,22,0,22,0,0,0,0,0,22,0,0,0,0,0,5:22
2000-03-08,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-03-09,44,0,44,0,0,0,0,0,44,0,0,0,0,0,5:44
2000-03-10,16,0,16,0,0,0,0,0,16,0,0,0,0,0,5:16
2000-03-11,6,0,6,0,0,0,0,0,6,0,0,0,0,0,5:6
2000-03-12,38,0,38,0,0,0,0,0,38,0,0,0,0,0,5:38
2000-03-13,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-03-14,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-03-15,43,0,43,0,0,0,0,0,43,0,0,0,0,0,5:43
2000-03-16,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-03-17,17,0,17,0,0,0,0,0,17,0,0,0,0,0,5:17
2000-03-19,56,0,56,0,0,0,0,0,56,0,0,0,0,0,5:56
2000-03-20,42,0,42,0,0,0,0,0,42,0,0,0,0,0,5:42
2000-03-21,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-03-22,56,0,56,0,0,0,0,0,56,0,0,0,0,0,5:56
2000-03-23,62,0,62,0,0,0,0,0,62,0,0,0,0,0,5:62
2000-03-24,33,0,33,1,0,0,0,0,32,0,0,0,0,0,"0:1, 5:32"
2000-03-25,21,0,21,0,0,0,0,0,21,0,0,0,0,0,5:21
2000-03-26,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-03-27,60,0,60,0,0,0,0,0,60,0,0,0,0,0,5:60
2000-03-28,58,0,58,0,0,0,0,0,58,0,0,0,0,0,5:58
2000-03-29,56,0,56,0,0,0,0,0,55,0,0,0,0,1,"5:55, 10:1"
2000-03-30,56,0,56,0,0,0,0,0,55,0,0,0,0,1,"5:55, 10:1"
2000-03-31,12,0,12,0,0,0,0,0,12,0,0,0,0,0,5:12
2000-04-01,2,0,2,0,0,0,0,0,2,0,0,0,0,0,5:2
2000-04-02,45,0,45,0,0,0,0,0,45,0,0,0,0,0,5:45
2000-04-03,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-04-04,48,0,48,0,0,0,0,0,48,0,0,0,0,0,5:48
2000-04-05,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-04-06,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-04-07,19,0,19,0,0,0,0,0,19,0,0,0,0,0,5:19
2000-04-08,3,0,3,0,0,0,0,0,3,0,0,0,0,0,5:3
2000-04-09,58,0,58,0,0,0,0,0,58,0,0,0,0,0,5:58
2000-04-10,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-04-11,67,0,67,0,0,0,0,0,67,0,0,0,0,0,5:67
2000-04-12,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-04-13,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-04-14,13,0,13,0,0,0,0,0,13,0,0,0,0,0,5:13
2000-04-15,2,0,2,0,0,0,0,0,2,0,0,0,0,0,5:2
2000-04-16,57,0,57,0,0,0,0,0,57,0,0,0,0,0,5:57
2000-04-17,51,0,51,0,0,0,0,0,51,0,0,0,0,0,5:51
2000-04-18,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-04-19,58,0,58,0,0,0,0,0,58,0,0,0,0,0,5:58
2000-04-20,53,0,53,0,0,0,0,0,53,0,0,0,0,0,5:53
2000-04-21,18,0,18,0,0,0,0,0,18,0,0,0,0,0,5:18
2000-04-22,14,0,14,0,0,0,0,0,14,0,0,0,0,0,5:14
2000-04-23,47,0,47,0,0,0,0,0,47,0,0,0,0,0,5:47
2000-04-24,56,0,56,0,0,0,0,0,56,0,0,0,0,0,5:56
2000-04-25,58,0,58,0,0,0,0,0,58,0,0,0,0,0,5:58
2000-04-26,56,0,56,0,0,0,0,0,56,0,0,0,0,0,5:56
2000-04-27,59,0,59,0,0,0,0,0,59,0,0,0,0,0,5:59
2000-04-28,20,0,20,0,0,0,0,0,20,0,0,0,0,0,5:20
2000-04-29,11,0,11,0,0,0,0,0,11,0,0,0,0,0,5:11
2000-04-30,21,0,21,0,0,0,0,0,21,0,0,0,0,0,5:21
2000-05-01,8,0,8,0,0,0,0,0,8,0,0,0,0,0,5:8
2000-05-02,43,0,43,0,0,0,0,0,43,0,0,0,0,0,5:43
2000-05-03,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-05-04,44,0,44,0,0,0,0,0,44,0,0,0,0,0,5:44
2000-05-05,20,0,20,0,0,0,0,0,20,0,0,0,0,0,5:20
2000-05-06,15,0,15,0,0,0,0,0,15,0,0,0,0,0,5:15
2000-05-07,9,0,9,0,0,0,0,0,9,0,0,0,0,0,5:9
2000-05-08,13,0,13,0,0,0,0,0,13,0,0,0,0,0,5:13
2000-05-09,46,0,46,0,0,0,0,0,46,0,0,0,0,0,5:46
2000-05-10,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-05-11,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-05-12,16,0,16,0,0,0,0,0,16,0,0,0,0,0,5:16
2000-05-13,13,0,13,0,0,0,0,0,13,0,0,0,0,0,5:13
2000-05-14,52,0,52,0,0,0,0,0,52,0,0,0,0,0,5:52
2000-05-15,50,0,50,0,0,0,0,0,50,0,0,0,0,0,5:50
2000-05-16,54,0,54,0,0,0,0,0,54,0,0,0,0,0,5:54
2000-05-17,56,0,56,0,0,0,0,0,55,0,0,0,0,1,"5:55, 10:1"
