variant,date,strategy,account_value,account_value_std,seed_count
gating,2013-04-10,momentum_126,10573.065264543282,0.0,5
gating,2013-04-10,transformer_tdqn_stitched,9592.351634252947,225.6317622865463,5
gating,2013-04-11,buy_hold,10607.716043985003,0.0,5
gating,2013-04-11,momentum_126,10607.716043985003,0.0,5
gating,2013-04-11,transformer_tdqn_stitched,9584.738425150676,257.5597704316462,5
gating,2013-04-12,buy_hold,10581.728213598228,0.0,5
gating,2013-04-12,momentum_126,10581.728213598228,0.0,5
gating,2013-04-12,transformer_tdqn_stitched,9591.74094419181,235.57366898979225,5
gating,2013-04-15,buy_hold,10336.508798993958,0.0,5
gating,2013-04-15,momentum_126,10336.508798993958,0.0,5
gating,2013-04-15,transformer_tdqn_stitched,9677.063142424717,96.73312968836234,5
gating,2013-04-16,buy_hold,10489.10481639632,0.0,5
gating,2013-04-16,momentum_126,10489.10481639632,0.0,5
gating,2013-04-16,transformer_tdqn_stitched,9558.7458812531,91.10709659226804,5
gating,2013-04-17,buy_hold,10335.84280936591,0.0,5
gating,2013-04-17,momentum_126,10335.84280936591,0.0,5
gating,2013-04-17,transformer_tdqn_stitched,9696.463404891165,91.10452967384788,5
gating,2013-04-18,buy_hold,10271.206228212988,0.0,5
gating,2013-04-18,momentum_126,10271.206228212988,0.0,5
gating,2013-04-18,transformer_tdqn_stitched,9757.101541067022,91.67426408586176,5
gating,2013-04-19,buy_hold,10360.497643718529,0.0,5
gating,2013-04-19,momentum_126,10360.497643718529,0.0,5
gating,2013-04-19,transformer_tdqn_stitched,9687.3641212211,105.53778155743338,5
gating,2013-04-22,buy_hold,10406.476347505455,0.0,5
gating,2013-04-22,momentum_126,10406.476347505455,0.0,5
gating,2013-04-22,transformer_tdqn_stitched,9642.422621848476,102.67212158979156,5
gating,2013-04-23,buy_hold,10513.759650748938,0.0,5
gating,2013-04-23,momentum_126,10513.759650748938,0.0,5
gating,2013-04-23,transformer_tdqn_stitched,9543.016164216007,101.61364569580712,5
gating,2013-04-24,buy_hold,10520.423614141677,0.0,5
gating,2013-04-24,momentum_126,10520.423614141677,0.0,5
gating,2013-04-24,transformer_tdqn_stitched,9536.967489670733,101.54923965670892,5
gating,2013-04-25,buy_hold,10563.070336232237,0.0,5
gating,2013-04-25,momentum_126,10563.070336232237,0.0,5
gating,2013-04-25,transformer_tdqn_stitched,9498.307411233209,101.13758872315464,5
gating,2013-04-26,buy_hold,10544.412458866243,0.0,5
gating,2013-04-26,momentum_126,10544.412458866243,0.0,5
gating,2013-04-26,transformer_tdqn_stitched,9515.08456496051,101.31623116966026,5
gating,2013-04-29,buy_hold,10615.045997005793,0.0,5
gating,2013-04-29,momentum_126,10615.045997005793,0.0,5
gating,2013-04-29,transformer_tdqn_stitched,9451.34615458042,100.63754718357896,5
gating,2013-04-30,buy_hold,10640.366820986465,0.0,5
gating,2013-04-30,momentum_126,10640.366820986465,0.0,5
gating,2013-04-30,transformer_tdqn_stitched,9428.8011865767,100.39748928662712,5
gating,2013-05-01,buy_hold,10547.077434156505,0.0,5
gating,2013-05-01,momentum_126,10547.077434156505,0.0,5
gating,2013-05-01,transformer_tdqn_stitched,9511.468175040143,101.27772399774234,5
gating,2013-05-02,buy_hold,10645.03179871699,0.0,5
gating,2013-05-02,momentum_126,10645.03179871699,0.0,5
gating,2013-05-02,transformer_tdqn_stitched,9423.131872691014,100.33712266431478,5
gating,2013-05-03,buy_hold,10752.98109158852,0.0,5
gating,2013-05-03,momentum_126,10752.98109158852,0.0,5
gating,2013-05-03,transformer_tdqn_stitched,9327.57364031309,99.31962251540124,5
gating,2013-05-06,buy_hold,10780.301918009458,0.0,5
gating,2013-05-06,momentum_126,10780.301918009458,0.0,5
gating,2013-05-06,transformer_tdqn_stitched,9303.874443022132,99.06727443222049,5
gating,2013-05-07,buy_hold,10834.943570851332,0.0,5
gating,2013-05-07,momentum_126,10834.943570851332,0.0,5
gating,2013-05-07,transformer_tdqn_stitched,9256.71629464498,98.56513639761988,5
gating,2013-05-08,buy_hold,10884.25323955657,0.0,5
gating,2013-05-08,momentum_126,10884.25323955657,0.0,5
gating,2013-05-08,transformer_tdqn_stitched,9214.589115042929,98.1165679127104,5
gating,2013-05-09,buy_hold,10853.601448217323,0.0,5
gating,2013-05-09,momentum_126,10853.601448217323,0.0,5
gating,2013-05-09,transformer_tdqn_stitched,9240.538866175575,98.39287980112331,5
gating,2013-05-10,buy_hold,10888.9182172871,0.0,5
gating,2013-05-10,momentum_126,10888.9182172871,0.0,5
gating,2013-05-10,transformer_tdqn_stitched,9210.470876414389,98.072717076277,5
gating,2013-05-13,buy_hold,10897.580149563984,0.0,5
gating,2013-05-13,momentum_126,10897.580149563984,0.0,5
gating,2013-05-13,transformer_tdqn_stitched,9203.14411783491,97.99470205067315,5
gating,2013-05-14,buy_hold,11010.194420166044,0.0,5
gating,2013-05-14,momentum_126,11010.194420166044,0.0,5
gating,2013-05-14,transformer_tdqn_stitched,9125.395209777656,122.2223286952778,5
gating,2013-05-15,buy_hold,11069.500033960388,0.0,5
gating,2013-05-15,momentum_126,11069.500033960388,0.0,5
gating,2013-05-15,transformer_tdqn_stitched,9094.385245232255,154.08596850962573,5
gating,2013-05-16,buy_hold,11017.52437318683,0.0,5
gating,2013-05-16,momentum_126,11017.52437318683,0.0,5
gating,2013-05-16,transformer_tdqn_stitched,9109.113528976004,114.56145531017344,5
gating,2013-05-17,buy_hold,11124.14168680226,0.0,5
gating,2013-05-17,momentum_126,11124.14168680226,0.0,5
gating,2013-05-17,transformer_tdqn_stitched,9090.53873762282,206.07041316567455,5
gating,2013-05-20,buy_hold,11123.474680396152,0.0,5
gating,2013-05-20,momentum_126,11123.474680396152,0.0,5
gating,2013-05-20,transformer_tdqn_stitched,9088.898609532276,203.8636671749392,5
gating,2013-05-21,buy_hold,11139.467582471883,0.0,5
gating,2013-05-21,momentum_126,11139.467582471883,0.0,5
gating,2013-05-21,transformer_tdqn_stitched,9084.684451943793,216.15594618205407,5
gating,2013-05-22,buy_hold,11056.839113581023,0.0,5
gating,2013-05-22,momentum_126,11056.839113581023,0.0,5
gating,2013-05-22,transformer_tdqn_stitched,9108.659389343937,155.01340695511726,5
gating,2013-05-23,buy_hold,11024.854326207616,0.0,5
gating,2013-05-23,momentum_126,11024.854326207616,0.0,5
gating,2013-05-23,transformer_tdqn_stitched,9111.702428056766,125.08453969435344,5
gating,2013-05-24,buy_hold,11015.525387524622,0.0,5
gating,2013-05-24,momentum_126,11015.525387524622,0.0,5
gating,2013-05-24,transformer_tdqn_stitched,9113.155001403811,116.93417546494562,5
gating,2013-05-28,buy_hold,11081.4949647117,0.0,5
gating,2013-05-28,momentum_126,11081.4949647117,0.0,5
gating,2013-05-28,transformer_tdqn_stitched,9102.828257825802,175.263304343863,5
gating,2013-05-29,buy_hold,11009.528430537994,0.0,5
gating,2013-05-29,momentum_126,11009.528430537994,0.0,5
gating,2013-05-29,transformer_tdqn_stitched,9113.672250566082,112.08289258403968,5
gating,2013-05-30,buy_hold,11050.176166966345,0.0,5
gating,2013-05-30,momentum_126,11050.176166966345,0.0,5
gating,2013-05-30,transformer_tdqn_stitched,9107.289109454185,147.80561408160926,5
gating,2013-05-31,buy_hold,10891.583192577358,0.0,5
gating,2013-05-31,momentum_126,10891.583192577358,0.0,5
gating,2013-05-31,transformer_tdqn_stitched,9131.619318128734,32.73703066719005,5
gating,2013-06-03,buy_hold,10951.55581277781,0.0,5
gating,2013-06-03,momentum_126,10951.55581277781,0.0,5
gating,2013-06-03,transformer_tdqn_stitched,9129.794781026274,60.57484444682962,5
gating,2013-06-04,buy_hold,10898.913145598144,0.0,5
gating,2013-06-04,momentum_126,10898.913145598144,0.0,5
