fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed,variant
fold8,val,1239,233,233,0.1180845412883755,0.1288948491143768,0.1170853875031267,1.1008619594903315,1.334906488366007,1.6161168744337808,-0.0797558958472828,16.905098385263685,18.36243445295883,24.88888888888889,629425236,gating
fold8,test,1239,93,93,-0.1432657575107159,-0.3452782352977819,0.4992917928662027,-0.6915359720128776,-0.933314686342698,-1.201465438443858,-0.2873809135491966,13.126087733379432,35.95406640012627,12.0,629425236,gating
fold1,val,1241,231,231,0.0947382507189724,0.1042576275534563,0.1283714945244269,0.8121555952876894,1.2372048037454544,1.16085599549905,-0.0898109911631512,4.975022895055373,5.450894650234582,74.0,1637688973,gating
fold1,test,1241,233,233,0.0175849184158165,0.0191152606465665,0.1052011714994301,0.1817019751217322,0.2699607521515263,0.1702052857007651,-0.1123070918030874,35.016856518641994,38.03555104611113,11.72222222222222,1637688973,gating
fold2,val,1240,233,233,0.1655419472534243,0.1810358281723123,0.0945209827303883,1.915297777729406,2.781619116183569,3.908502631147644,-0.0463184613794555,142.0069628222591,154.24894237590215,2.267605633802817,1637688973,gating
fold2,test,1240,233,233,-0.0012997875540373,-0.0014117590752167,0.1011265727157873,-0.0139603176227917,-0.0187568833391176,-0.0227661234930337,-0.0620113949416429,106.60284433646548,115.79274471029872,3.3773584905660377,1637688973,gating
fold3,val,1239,233,233,0.0851049067862252,0.0927721919371487,0.1091205430767091,0.8501808121678062,1.1833346080663922,1.2040695036469908,-0.0770488677407343,25.355147304438635,27.540935865166105,16.923076923076923,1637688973,gating
fold3,test,1239,233,233,-0.0459937464759233,-0.0498582630706403,0.1499239581731347,-0.3325570087541524,-0.4346611381097094,-0.4058231376075183,-0.1228571228456163,8.943067016859453,9.714021070036994,43.6,1637688973,gating
fold4,val,1239,233,233,0.169790908368755,0.1857131649157783,0.1485586875777822,1.2500996605704584,1.7043764010128422,1.7422867985412287,-0.1065916157266824,26.29894304338065,28.56609330574105,15.5,1637688973,gating
fold4,test,1239,233,233,0.2528821300258377,0.2774701196459588,0.1099237855889112,2.524204549174015,4.756830885009927,5.424532444574181,-0.0511509742970557,38.84298602484756,42.19151930285167,10.3,1637688973,gating
fold5,val,1239,233,233,0.0005322008282493,0.000578093468827,0.1059069526552493,0.0054585034724671,0.0078689487178173,0.0054020810374615,-0.1070131056565448,31.469640939010915,34.182541019960134,13.0625,1637688973,gating
fold5,test,1239,232,232,-0.150184969231742,-0.1626647885858917,0.0678363782867535,-2.397899072652223,-3.482504731408284,-1.0535447937572058,-0.1543976008896481,3.163695229112667,3.451303886304728,115.0,1637688973,gating
fold6,val,1239,232,232,0.1712201523814207,0.1881695092247237,0.0678327993992934,2.774019514027071,3.6711092263243104,6.206225333748374,-0.0303194774771535,0.9256676296162252,1.009819232308609,230.0,1637688973,gating
fold6,test,1239,232,232,0.0261037681643692,0.0285103627632863,0.1697844740790883,0.1679209063015134,0.2202954204527418,0.1412909064316347,-0.2017848386943529,10.244329129656874,11.175631777807498,37.16666666666666,1637688973,gating
fold7,val,1240,232,232,-0.0696780489453924,-0.0757664122603227,0.1614621196049319,-0.4692519362789812,-0.6065832235171621,-0.3754811944770887,-0.2017848386943541,2.975674357864739,3.2461902085797147,109.5,1637688973,gating
fold7,test,1240,233,233,0.0426546535342033,0.0464158780051018,0.1181228033320881,0.392945957052925,0.4940737861518902,0.3636312368555526,-0.1276454641423995,5.073240151521159,5.510588440445398,76.66666666666667,1637688973,gating
fold8,val,1239,233,233,-0.1088825600799032,-0.1176944926653905,0.1075557641312397,-1.0942648552222596,-1.4614549276356017,-0.776206801397207,-0.1516277523638484,21.255174918525963,23.08751758391613,19.272727272727277,1637688973,gating
fold8,test,1239,93,93,-0.0887048305990576,-0.2246444036953752,0.5003269541848832,-0.4489952056677793,-0.6121586606969788,-0.7816956280115599,-0.2873809135491968,11.47850374126018,31.4411189434518,14.166666666666666,1637688973,gating
fold1,val,1241,231,231,0.1635561773817231,0.180538241423013,0.1280869943214727,1.4094970561171742,2.1376467441721463,2.0305369397014785,-0.0889115769790206,41.661884460503245,45.64693427846442,10.0,1837439542,gating
fold1,test,1241,233,233,-0.1977141124469115,-0.21280619785658,0.1118119122928168,-1.903251572151596,-3.3550366226616126,-1.0546903338961058,-0.2017712602622021,1.1097253613692588,1.205391340797643,232.0,1837439542,gating
fold2,val,1240,233,233,0.0881923621639173,0.0961499175461735,0.1020242079130719,0.9424225829628248,1.455025269442073,1.7590512829864495,-0.0546600991546613,57.294141674505866,62.23329181885983,7.0344827586206895,1837439542,gating
fold2,test,1240,233,233,0.0100913981552079,0.0109660995880025,0.1006830848214157,0.1089170003824714,0.1531739015466399,0.0859787974883489,-0.1275442307679235,63.72201337025321,69.21529038493021,6.28125,1837439542,gating
