strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed,variant
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1836178384,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1836178384,no_gating
transformer_tdqn_stitched,0.0354086400650031,0.005108083271172,0.1650879792804771,0.0309415821396278,0.0375285940418965,0.0143672762940999,-0.3555359531346755,191.6543366778531,28.0632730057054,15.673684210526316,1836178384,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,5629345,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,5629345,no_gating
transformer_tdqn_stitched,0.0293181058088032,0.0042401847933677,0.1644821357365355,0.0257789988826482,0.0327750449046267,0.0111936734454253,-0.3788019021673903,149.27578165512094,21.85792967872776,21.72972972972973,5629345,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,629425236,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,629425236,no_gating
transformer_tdqn_stitched,-0.1892327165863031,-0.0302495450086534,0.1625801297973861,-0.1860592991674419,-0.2229405611207578,-0.0796380977407748,-0.379837613740058,338.4211557120542,49.55382407869707,8.832335329341317,629425236,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1637688973,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1637688973,no_gating
transformer_tdqn_stitched,-0.2116186496537792,-0.0342172049151328,0.1646334808573027,-0.2078386773878079,-0.2528456611615811,-0.0939106181273675,-0.3643592769107882,181.42430575601887,26.56532542156697,17.27777777777778,1637688973,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1837439542,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1837439542,no_gating
transformer_tdqn_stitched,0.1669115305770605,0.0228598445122367,0.165145828424412,0.1384221734834786,0.1688388101717904,0.0497873988217473,-0.4591492034777987,204.7196153669342,29.97637598632621,14.815533980582524,1837439542,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,1836178384,no_sentiment
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,1836178384,no_sentiment
transformer_tdqn_stitched,-0.1448371623132114,-0.0226499337043685,0.1649849686334639,-0.1372848320181723,-0.1710425012896637,-0.0491997191924712,-0.4603671337180008,208.5405492342497,30.53586194481751,14.692307692307692,1836178384,no_sentiment
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,5629345,no_sentiment
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,5629345,no_sentiment
transformer_tdqn_stitched,-0.3089305129960754,-0.0526690474509441,0.1642175457836157,-0.3207272840403088,-0.4008733516966882,-0.1076412825670018,-0.4893015597260283,181.4346612109084,26.566841734543235,17.644444444444446,5629345,no_sentiment
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,629425236,no_sentiment
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,629425236,no_sentiment
