variant,date,fold,split,account_value,account_value_std,seed_count
gating,2012-09-20,fold1,val,10884.159657679964,282.0854853873409,5
gating,2012-09-21,fold1,val,10893.078109068138,216.62260593875294,5
gating,2012-09-24,fold1,val,10897.223104501381,201.05188076884772,5
gating,2012-09-25,fold1,val,10916.5677927291,105.53201972725853,5
gating,2012-09-26,fold1,val,10928.59881448971,95.01949820022513,5
gating,2012-09-27,fold1,val,10926.435357694,142.5083937634135,5
gating,2012-09-28,fold1,val,10934.028769302255,118.65347377496116,5
gating,2012-10-01,fold1,val,10928.312519725248,128.81383041652177,5
gating,2012-10-02,fold1,val,10926.092154431582,134.65436215993472,5
gating,2012-10-03,fold1,val,10917.413847352896,164.86834008303512,5
gating,2012-10-04,fold1,val,10902.498254101652,233.7762254679355,5
gating,2012-10-05,fold1,val,10902.36128735144,234.48782423940622,5
gating,2012-10-08,fold1,val,10909.210368993332,199.90823581029977,5
gating,2012-10-09,fold1,val,10929.372288387687,124.31525878956569,5
gating,2012-10-10,fold1,val,10910.780086606941,105.67597063135362,5
gating,2012-10-11,fold1,val,10910.068115615155,105.80060549693658,5
gating,2012-10-12,fold1,val,10888.563906546931,104.7203763756311,5
gating,2012-10-15,fold1,val,10942.891911148728,124.65666239501265,5
gating,2012-10-16,fold1,val,10961.028518115076,183.34095196983748,5
gating,2012-10-17,fold1,val,10947.15193800766,220.78857981546454,5
gating,2012-10-18,fold1,val,10952.461880201157,198.3072006153558,5
gating,2012-10-19,fold1,val,10986.981238799948,159.20618127299934,5
gating,2012-10-22,fold1,val,10982.840565949791,154.66806272225878,5
gating,2012-10-23,fold1,val,10886.381782569948,154.09304610972617,5
gating,2012-10-24,fold1,val,10868.05692233303,168.8297845110396,5
gating,2012-10-25,fold1,val,10886.80341604222,153.73186016039088,5
gating,2012-10-26,fold1,val,10883.138806570412,156.37779151844762,5
gating,2012-10-31,fold1,val,10883.138806570412,156.37779151844762,5
gating,2012-11-01,fold1,val,10950.919169760988,138.51798044871262,5
gating,2012-11-02,fold1,val,10909.947426404036,175.87936000562706,5
gating,2012-11-05,fold1,val,10921.046687599908,167.29151982945183,5
gating,2012-11-06,fold1,val,10972.127844194878,170.17374567511808,5
gating,2012-11-07,fold1,val,10918.417994536192,286.3675833773542,5
gating,2012-11-08,fold1,val,10836.351611869813,350.8156593431876,5
gating,2012-11-09,fold1,val,10841.850577007299,345.0030273875944,5
gating,2012-11-12,fold1,val,10846.434673635737,339.08579559217407,5
gating,2012-11-13,fold1,val,10811.886078157842,334.28468878925804,5
gating,2012-11-14,fold1,val,10663.80565788498,329.82037079305593,5
gating,2012-11-15,fold1,val,10645.762327694632,329.2623094362903,5
gating,2012-11-16,fold1,val,10698.324165771188,330.8879921878464,5
gating,2012-11-19,fold1,val,10914.848916307232,337.584876564661,5
gating,2012-11-20,fold1,val,10916.434421845337,337.92340762918633,5
gating,2012-11-21,fold1,val,10934.64258085248,338.7750279095337,5
gating,2012-11-23,fold1,val,11083.627317087172,343.3908448237842,5
gating,2012-11-26,fold1,val,11062.58414789991,342.41645306088895,5
gating,2012-11-27,fold1,val,11003.917474041042,340.88165388538744,5
gating,2012-11-28,fold1,val,11092.526326841473,343.6265974350612,5
gating,2012-11-29,fold1,val,11131.745214100189,347.7753944155263,5
gating,2012-11-30,fold1,val,11128.152531285732,344.5490380823935,5
gating,2012-12-03,fold1,val,11092.795496965357,335.7612607886032,5
gating,2012-12-04,fold1,val,11083.384178646946,335.5460172099651,5
gating,2012-12-05,fold1,val,11095.137403668896,335.9070316181572,5
gating,2012-12-06,fold1,val,11117.730068990142,339.1534260509234,5
gating,2012-12-07,fold1,val,11133.215018635534,329.31579088049983,5
gating,2012-12-10,fold1,val,11133.393714645988,326.99731273635024,5
gating,2012-12-11,fold1,val,11209.194973867186,329.2236606678665,5
