fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,run,seed,variant
fold7,test,1240,233,233,-0.0182310870049848,-0.0197870838226463,0.1164440662077188,-0.1699277985307485,-0.2096989058074055,-0.1764864909846812,-0.1121167048664584,17.289991675231658,18.780508198958525,24.444444444444443,drl_latent_regime_no_dir_42,42,no_gating
fold8,val,1239,233,233,-0.1632038636556292,-0.1759587582517663,0.1157493023725697,-1.5201712204311737,-2.357761848293933,-0.9741885422054342,-0.1806208455843865,13.3344663384938,14.483989298708783,30.428571428571427,drl_latent_regime_no_dir_42,42,no_gating
fold8,test,1239,93,93,0.0682790539993885,0.198315483335554,0.4730951109751808,0.4191873446478248,0.5551912242234409,0.873654192289455,-0.2269954005667371,5.166901930157932,14.1528183304326,27.666666666666668,drl_latent_regime_no_dir_42,42,no_gating
fold1,val,1241,231,231,0.0751533853479409,0.0826314560814445,0.1296941773538477,0.6371254112356879,0.9794466955089742,0.8744908500294921,-0.0944909327280643,15.002471042154212,16.437490011403746,27.875,drl_latent_regime_no_dir_42,42,no_sentiment
fold1,test,1241,233,233,0.1410685839164889,0.1541238516308054,0.1031085492795128,1.494772768192065,2.1050105075681738,3.09899431025482,-0.0497335058411683,100.03012057053282,108.65340682661324,3.66,drl_latent_regime_no_dir_42,42,no_sentiment
fold2,val,1240,233,233,0.0261552711695731,0.0284418128751886,0.0996266535015766,0.2854839731692737,0.4283874342939548,0.5209880516080275,-0.0545920636517538,53.30250208448899,57.8975453676346,6.888888888888889,drl_latent_regime_no_dir_42,42,no_sentiment
fold2,test,1240,233,233,0.1856410789402738,0.2031742177019337,0.0972478241575539,2.0892417847083697,3.4605610943517253,3.517387232937375,-0.0577628234387667,59.60227088792637,64.74039768860969,5.833333333333333,drl_latent_regime_no_dir_42,42,no_sentiment
fold3,val,1239,233,233,0.1276982402780155,0.1394421766508136,0.1096207419621819,1.2720418978638162,1.643126578652799,1.8097887839186608,-0.0770488677407345,17.518836695583197,19.02908123830589,23.77777777777778,drl_latent_regime_no_dir_42,42,no_sentiment
fold3,test,1239,233,233,-0.0103197855646017,-0.0112044203433147,0.1517482732556189,-0.0738355705994817,-0.0977646341216522,-0.0911987850911531,-0.1228571228456156,2.9372427156280114,3.1904532945614608,111.5,drl_latent_regime_no_dir_42,42,no_sentiment
fold4,val,1239,233,233,0.0211387728169403,0.0229818685377902,0.1544223971610463,0.1488247104066296,0.202963885773078,0.1870617511258966,-0.1228571228456156,0.9669736957025212,1.0503334970561868,232.0,drl_latent_regime_no_dir_42,42,no_sentiment
fold4,test,1239,233,233,0.1531447240834189,0.1673971483091825,0.1184583750145229,1.4131305472378777,1.8968529437049149,2.783881139677682,-0.0601308532621345,0.9191553270912796,0.9983928552888036,232.0,drl_latent_regime_no_dir_42,42,no_sentiment
fold5,val,1239,233,233,0.1459543331966779,0.1594924935874782,0.1120555628595576,1.4233340096410432,1.947305110210316,2.9993432482554896,-0.0531758056301971,45.02277593539488,48.90404972292892,8.869565217391305,drl_latent_regime_no_dir_42,42,no_sentiment
