strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,run,seed,variant
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_63,63,no_sentiment
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_63,63,no_sentiment
transformer_tdqn_stitched,0.235175423606168,0.031410393892725,0.1667622185272347,0.1883543776889444,0.2209638207393438,0.0957697790460846,-0.3279781388825206,145.42466325433006,21.294023904759545,21.47945205479452,drl_latent_regime_no_dir_63,63,no_sentiment
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_69,69,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_69,69,gating
transformer_tdqn_stitched,-0.0978347816401444,-0.0149626518449977,0.1654395095431989,-0.0904418290788682,-0.1092638774083014,-0.0301346116749464,-0.4965271166058377,277.45092503070515,40.62616682611139,10.619718309859154,drl_latent_regime_no_dir_69,69,gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_69,69,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_69,69,no_gating
transformer_tdqn_stitched,-0.2544383124604843,-0.0420822564271406,0.165191706321564,-0.2547479977307269,-0.3148002148178292,-0.0958942545023304,-0.4388402271391349,320.89191157919777,46.98707827888311,9.61006289308176,drl_latent_regime_no_dir_69,69,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_69,69,no_sentiment
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_69,69,no_sentiment
transformer_tdqn_stitched,-0.0702087609031246,-0.0106025375463744,0.1684972307035659,-0.0629241056491145,-0.0755759373046267,-0.0242603287795403,-0.4370318985666813,167.3618161557745,24.50620434122904,19.65853658536585,drl_latent_regime_no_dir_69,69,no_sentiment
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_81,81,gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_81,81,gating
transformer_tdqn_stitched,0.0339326430650301,0.0048981552071556,0.1670031772379523,0.0293297126926906,0.0355161463686349,0.0119510094432293,-0.4098528438474814,315.5335165779665,46.2024672734733,9.987096774193548,drl_latent_regime_no_dir_81,81,gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_81,81,no_gating
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_81,81,no_gating
transformer_tdqn_stitched,0.0585998467208108,0.0083734322481408,0.1600070869538952,0.0523316336016637,0.0668398468220556,0.0274111676234063,-0.3054752122631491,429.8376648350945,62.9396232065333,6.65296803652968,drl_latent_regime_no_dir_81,81,no_gating
buy_hold,1.0031316764189238,0.1070781128659914,0.1760852727607003,0.6081037396665789,0.6904732815999463,0.3139683552004408,-0.3410474689324394,,,,drl_latent_regime_no_dir_81,81,no_sentiment
momentum_126,0.4512123510717143,0.0560432346470187,0.1218502468081045,0.4599353396081199,0.4761802754959793,0.25770825665534,-0.2174677496731166,,,,drl_latent_regime_no_dir_81,81,no_sentiment
transformer_tdqn_stitched,0.3446083251844727,0.0443109501137359,0.1667364504630033,0.2657544285649046,0.3200448189558481,0.1166677337859021,-0.3798046698588603,288.39479348154094,42.22863913849408,10.486301369863014,drl_latent_regime_no_dir_81,81,no_sentiment
